import time: self [us] | cumulative | imported package
import time:      1093 |       2149 |           colorama.winterm
import time:      1210 |       4188 |         colorama.ansitowin32
import time:       916 |       5104 |       colorama.initialise
import time:      1233 |       6336 |     colorama
import time:        70 |       6405 |   colorama.win32
import time:       900 |        900 |             attr._compat
import time:      1331 |       1331 |               unicodedata
import time:       866 |        866 |               attr._config
import time:       764 |        764 |                 attr.exceptions
import time:       838 |       1602 |               attr.setters
import time:      5706 |       9504 |             attr._make
import time:       856 |      11259 |           attr.converters
import time:      1045 |       1045 |           attr.filters
import time:      6935 |       6935 |           attr.validators
import time:      1014 |       1014 |           attr._cmp
import time:       926 |        926 |           attr._funcs
import time:       875 |        875 |           attr._next_gen
import time:      1186 |       1186 |           attr._version_info
import time:      1305 |      24542 |         attr
import time:      3358 |       3358 |           typing_extensions
import time:      1530 |       1530 |           torch._utils
import time:       820 |        820 |               torch._strobelight
import time:       111 |        111 |                   gc
import time:      1180 |       1290 |                 timeit
import time:      1306 |       2596 |               torch._strobelight.cli_function_profiler
import time:      1148 |       4562 |             torch._strobelight.compile_time_profiler
import time:      1012 |       5574 |           torch._utils_internal
import time:       714 |        714 |                 torch._vendor
import time:       907 |       1621 |               torch._vendor.packaging
import time:       676 |        676 |               torch._vendor.packaging._structures
import time:      3307 |       5604 |             torch._vendor.packaging.version
import time:       717 |        717 |             torch.version
import time:      1022 |       7341 |           torch.torch_version
import time:       123 |        123 |           torch._rocm_init
import time:     43189 |      43189 |           torch._C
import time:       871 |        871 |             torch._namedtensor_internals
import time:      3509 |       3509 |             torch.overrides
import time:      2494 |       6873 |           torch._tensor
import time:      1057 |       1057 |             torch.types
import time:      1673 |       2729 |           torch.storage
import time:      1005 |       1005 |             torch.amp.autocast_mode
import time:      1052 |       1052 |             torch.amp.grad_scaler
import time:       868 |       2924 |           torch.amp
import time:       780 |        780 |           torch.random
import time:      1482 |       1482 |             difflib
import time:       574 |        574 |               pwd
import time:       456 |        456 |               grp
import time:      1967 |       2996 |             tarfile
import time:      1079 |       1079 |             torch._weights_only_unpickler
import time:       995 |        995 |             torch._sources
import time:      2234 |       8783 |           torch.serialization
import time:      1548 |       1548 |           torch._tensor_str
import time:       900 |        900 |             torch.cuda.gds
import time:       955 |        955 |             torch.cuda._utils
import time:      2378 |       2378 |             torch.cuda.graphs
import time:      1009 |       1009 |             torch.cuda.streams
import time:       697 |        697 |             pynvml
